,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
345,krasnyy yar,64.0,RU,1551812798,91.0,50.7,44.73,1.39,7.39
346,belgrade,0.0,RS,1551812526,62.0,44.82,20.46,11.67,4.1
347,vila franca do campo,40.0,PT,1551812799,58.0,37.72,-25.43,14.0,6.2
348,nagato,75.0,JP,1551812783,81.0,34.35,131.14,11.0,1.19
349,ossora,68.0,RU,1551812799,82.0,59.24,163.07,-16.02,1.34
350,coquimbo,0.0,CL,1551808800,72.0,-29.95,-71.34,20.0,7.7
351,pangai,40.0,TO,1551808800,83.0,-19.8,-174.35,26.0,6.2
352,prince rupert,1.0,CA,1551808800,37.0,54.32,-130.32,3.0,1.0
353,lebu,36.0,ET,1551812800,93.0,8.96,38.73,11.11,1.44
354,nanortalik,64.0,GL,1551812801,100.0,60.14,-45.24,-0.99,4.29
355,bacolod,48.0,PH,1551812801,84.0,10.68,122.95,24.83,3.79
356,port said,0.0,EG,1551812802,36.0,25.34,30.55,15.58,3.99
357,qasigiannguit,40.0,GL,1551808200,52.0,68.82,-51.19,-8.0,4.6
358,shelburne,90.0,CA,1551812775,61.0,44.08,-80.2,-7.78,9.8
359,zyryanka,76.0,RU,1551812804,60.0,65.73,150.89,-21.74,1.34
